                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6092,                 3.3803,                 1.8863,                0.00311,                      1,                0.08901,                0.02429,                 1.3662,                 3.8919,                 1.7831,                      0,                      0,                      0
                      2,                 1.6721,                 3.3505,                 1.7292,                0.00311,                      1,                0.09201,                0.03257,                 1.3186,                 3.8201,                 1.7561,             1.5845e-05,             1.5845e-05,             1.5845e-05
                      3,                 1.6749,                 3.3567,                 1.7487,                0.00311,                      1,                0.32369,                 0.0684,                 1.1948,                 3.6794,                 1.6779,             3.0039e-05,             3.0039e-05,             3.0039e-05
                      4,                 1.5139,                 3.1824,                 1.5812,                0.00311,                      1,                0.40377,                0.13607,                 1.1346,                  3.597,                 1.6154,             4.2584e-05,             4.2584e-05,             4.2584e-05
                      5,                 1.5802,                   3.25,                 1.6547,                0.00311,                      1,                0.46042,                0.21088,                 1.0166,                 3.5736,                 1.5335,             5.3477e-05,             5.3477e-05,             5.3477e-05
                      6,                 1.5816,                 3.2425,                 1.6918,                0.00311,                      1,                0.55333,                0.26893,                0.92513,                 3.5318,                 1.5039,             6.2721e-05,             6.2721e-05,             6.2721e-05
                      7,                 1.4098,                 3.0473,                 1.5355,                0.00311,                      1,                0.63625,                 0.3036,                0.90537,                 3.5157,                  1.492,             7.0314e-05,             7.0314e-05,             7.0314e-05
                      8,                 1.2262,                 2.9185,                 1.3711,                0.00311,                      1,                0.68025,                0.38087,                0.80487,                 3.5494,                 1.4105,             7.6257e-05,             7.6257e-05,             7.6257e-05
                      9,                 1.0853,                  2.815,                 1.3382,                0.00312,                      1,                0.66375,                0.45664,                0.75109,                 3.5134,                 1.3597,             8.0549e-05,             8.0549e-05,             8.0549e-05
                     10,                 1.1395,                 2.8204,                 1.3924,                0.00313,                      1,                0.66375,                0.41109,                0.75965,                 3.4756,                 1.3363,             8.3192e-05,             8.3192e-05,             8.3192e-05
